Country,Continent,Beverage_Types,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Austria,Europe,All types,12.32,11.82,12.26,12.04,12.1,11.3,12,12.5,12.4,12.4,12.1,12.2,12.5,12.4,13.2
Austria,Europe,Beer,6.25,6.03,6.27,6.09,6.1,6.2,6.4,6.4,6.7,6.07,6.7,6.4,6.4,6.6,6.8
Austria,Europe,Wine,4.37,4.09,4.3,4.25,4.3,3.4,3.9,4.4,4.2,4.1,3.8,4.1,4.4,4.3,4.3
Austria,Europe,Spirits,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.5,2.1
Austria,Europe,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,Asia,All types,,2.14,,1.98,1.98,2.1,1.18,1.02,0.85,0.73,0.62,0.55,0.55,0.51,0.65
Azerbaijan,Asia,Beer,,0.19,,0.16,0.16,0.27,0.46,0.34,0.3,0.3,0.25,0.23,0.21,0.2,0.17
Azerbaijan,Asia,Wine,,0.23,0.22,0.22,0.22,0.22,0.19,0.17,0.08,0.03,0.02,0.03,0.08,0.05,0.05
Azerbaijan,Asia,Spirits,,1.63,,1.51,1.46,1.45,0.53,0.51,0.47,0.4,0.35,0.28,0.25,0.25,0.43
Azerbaijan,Asia,Other alcoholic beverages,,0.09,0.09,0.09,0.14,0.16,0,0,0,0,0,0,0,0,0
Bahamas,Central America,All types,9.45,9.42,9.5,9.34,9.19,9.29,10.15,10.75,11.07,10.49,10.1,10.68,10.85,11.64,12.15
Bahamas,Central America,Beer,3.53,3.47,3.41,3.34,3.23,3.14,3.61,3.82,3.78,3.82,3.73,3.56,3.61,3.7,4.04
Bahamas,Central America,Wine,1.6,1.61,1.64,1.54,1.46,1.56,1.66,1.89,2.12,1.51,1.28,1.56,1.46,1.83,1.79
Bahamas,Central America,Spirits,3.96,3.99,4.09,4.1,4.12,4.15,4.41,4.54,4.64,4.64,4.54,5.53,5.75,6.08,6.29
Bahamas,Central America,Other alcoholic beverages,0.36,0.35,0.36,0.36,0.38,0.43,0.47,0.51,0.53,0.52,0.56,0.03,0.03,0.03,0.03
Bahrain,Asia,All types,1.57,1.65,1.7,1.66,1.93,1.95,2,2,2.1,2.05,2.16,2.16,1.99,1.95,2.15
Bahrain,Asia,Beer,0.38,0.37,0.35,0.34,0.46,0.46,0.47,0.49,0.52,0.54,0.55,0.55,0.55,0.55,0.54
Bahrain,Asia,Wine,0.13,0.12,0.11,0.12,0.11,0.14,0.13,0.26,0.23,0.19,0.21,0.14,0.19,0.15,0.3
Bahrain,Asia,Spirits,1.04,1.14,1.23,1.19,1.36,1.34,1.39,1.24,1.34,1.31,1.38,1.46,1.24,1.25,1.31
Bahrain,Asia,Other alcoholic beverages,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Bangladesh,Asia,All types,,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01
Bangladesh,Asia,Beer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Asia,Wine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Asia,Spirits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Asia,Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,Central America,All types,8.82,8.74,8.61,8.51,8.41,8.46,8.95,8.47,8.39,8.01,7.68,7.65,7.59,7.38,7.43
Barbados,Central America,Beer,3.42,3.4,3.39,3.34,3.3,3.15,3.43,3.14,3.28,3.22,2.98,2.9,2.91,2.9,2.76
Barbados,Central America,Wine,0.83,0.87,0.79,0.89,0.93,0.89,1.05,1.12,0.92,0.75,0.68,0.72,0.55,0.49,0.61
Barbados,Central America,Spirits,4.39,4.28,4.23,4.08,3.97,4.25,4.21,3.95,3.94,3.81,3.8,4,4.09,3.96,4.03
Barbados,Central America,Other alcoholic beverages,0.18,0.18,0.2,0.21,0.21,0.17,0.26,0.26,0.25,0.22,0.22,0.03,0.03,0.03,0.03
Belarus,Europe,All types,13.94,14.66,16.35,17.31,14.44,14.09,14.67,14.22,12.6,11.01,12.05,11.17,12.23,10.74,12.98
Belarus,Europe,Beer,3.01,3.08,2.98,3.1,2.5,2.39,2.54,2.38,2.03,1.47,1.33,3.2,2.73,1.15,1.18
Belarus,Europe,Wine,0.37,0.37,0.37,0.35,0.75,0.62,0.72,0.82,0.77,0.62,0.22,0.49,0.41,0.37,0.17
Belarus,Europe,Spirits,5.97,6.45,8.32,8.16,6.73,6.82,6.92,6.06,5.22,4.21,3.63,3.8,4.75,4.75,5.02
Belarus,Europe,Other alcoholic beverages,4.59,4.77,4.67,5.71,4.46,4.25,4.5,4.96,4.59,4.71,6.87,3.68,3.89,4.47,6.6
Belgium,Europe,All types,12.6,11.77,10.08,10.11,10.22,10.05,10.47,10.25,10.98,12.27,12.05,11.28,11.29,11.01,11.21
Belgium,Europe,Beer,6.21,5.81,4.79,4.89,5.02,4.94,5.04,5.21,5.61,6.07,5.95,6.14,6.09,6.08,6.15
Belgium,Europe,Wine,4.53,4.26,3.73,3.71,3.71,3.66,3.83,4.27,4.37,4.22,4.26,4.06,4.26,3.99,4.05
Belgium,Europe,Spirits,1.8,1.68,1.55,1.49,1.47,1.45,1.59,0.77,0.99,1.98,1.84,1.07,0.95,0.93,1
Belgium,Europe,Other alcoholic beverages,0.05,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0,0.01,0,0,0,0
Belize,South America,All types,6.58,6.56,6.66,6.64,6.76,6.85,7.22,7.24,6.48,6.25,6.2,5.67,4.99,4.9,4.79
Belize,South America,Beer,4.34,4.34,4.37,4.43,4.52,4.53,4.86,4.88,4.12,3.96,3.98,3.7,3.09,2.95,2.83
Belize,South America,Wine,0.2,0.17,0.2,0.14,0.13,0.17,0.14,0.16,0.12,0.14,0.12,0.15,0.11,0.14,0.14
Belize,South America,Spirits,1.89,1.89,1.93,1.92,1.96,1.96,2.07,2.08,2.14,2.1,2.08,1.82,1.79,1.8,1.82
Belize,South America,Other alcoholic beverages,0.15,0.16,0.16,0.15,0.16,0.19,0.15,0.13,0.11,0.06,0.02,0,0,0,0
Benin,Africa,All types,,,,1.4,1.33,1.16,1.28,1.12,1.19,1.13,1.15,1.35,1.23,1.29,1.34
Benin,Africa,Beer,,,,0.79,0.67,0.62,0.62,0.55,0.53,0.51,0.53,0.7,0.73,0.66,0.54
Benin,Africa,Wine,,,,0.22,0.25,0.2,0.16,0.17,0.17,0.14,0.12,0.12,0.1,0.12,0.12
Benin,Africa,Spirits,,,,0.16,0.16,0.15,0.25,0.1,0.19,0.16,0.15,0.19,0.02,0.13,0.31
Benin,Africa,Other alcoholic beverages,,,,0.23,0.25,0.2,0.25,0.3,0.3,0.33,0.34,0.35,0.38,0.38,0.37
Bhutan,Asia,All types,,,,0.23,0.28,0.17,0.21,0.16,0.29,0.73,0.96,0.52,0.29,0.14,0.17
Bhutan,Asia,Beer,,,,0.18,0.11,0.12,0.13,0.12,0.25,0.36,0.62,0.49,0.29,0.14,0.17
Bhutan,Asia,Wine,,,,0.05,0.07,0.02,0.06,0.02,0.02,0.01,0,0,0,0,0
Bhutan,Asia,Spirits,,,,0,0.1,0.03,0.02,0.02,0.02,0.36,0.34,0.03,0,0,0
Bhutan,Asia,Other alcoholic beverages,,,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),Central America,All types,3.62,3.78,3.89,3.93,3.95,3.87,3.77,3.47,3.23,2.86,2.66,2.37,2.26,2.2,2.32
Bolivia (Plurinational State of),Central America,Beer,2.73,2.73,2.81,2.84,2.96,2.94,2.78,2.54,2.35,2.14,2,1.7,1.58,1.55,1.68
Bolivia (Plurinational State of),Central America,Wine,0.03,0.17,0.22,0.24,0.23,0.23,0.27,0.25,0.25,0.14,0.1,0.1,0.06,0.06,0.07
Bolivia (Plurinational State of),Central America,Spirits,0.82,0.83,0.82,0.81,0.74,0.69,0.71,0.66,0.62,0.58,0.56,0.57,0.62,0.59,0.56
Bolivia (Plurinational State of),Central America,Other alcoholic beverages,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0
Bosnia and Herzegovina,Europe,All types,4.03,4.12,4.61,4.64,4.54,4.75,5.13,5.16,4.82,4.56,4.25,4.14,3.84,3.85,3.64
Bosnia and Herzegovina,Europe,Beer,3.2,3.28,3.5,3.43,3.33,3.5,3.8,3.77,3.57,3.34,3.03,2.87,2.65,2.61,2.57
Bosnia and Herzegovina,Europe,Wine,0.15,0.15,0.39,0.45,0.45,0.51,0.56,0.6,0.47,0.43,0.42,0.42,0.33,0.4,0.21
Bosnia and Herzegovina,Europe,Spirits,0.54,0.55,0.59,0.63,0.63,0.61,0.64,0.64,0.63,0.66,0.68,0.86,0.87,0.85,0.85
Bosnia and Herzegovina,Europe,Other alcoholic beverages,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0,0,0,0
Botswana,Africa,All types,,,,5.76,5.99,5.01,6.56,6.21,6.45,6.37,4.9,5.51,6.41,5.48,5.37
Botswana,Africa,Beer,,,,2.39,3.36,2.35,2.22,2.68,2.67,2.58,2.47,2.39,2.6,2.69,2.3
Botswana,Africa,Wine,,,,0.59,0.75,0.73,1.16,1.86,1.43,0.91,0.45,0.46,0.53,0.23,0.34
Botswana,Africa,Spirits,,,,1.58,0.67,0.69,2.13,0.5,1.08,1.01,0,0.82,1.22,0.36,0.54
Botswana,Africa,Other alcoholic beverages,,,,1.2,1.21,1.23,1.05,1.18,1.27,1.86,1.98,1.84,2.06,2.2,2.19
Brazil,South America,All types,7.32,7.24,7.55,7.58,7.52,7.33,7.21,7.19,7.1,6.97,6.85,6.95,7,7.13,7.26
